,Id,idhogar,Target,hacdor,hacapo,v14a,refrig,paredblolad,paredzocalo,paredpreb,pisocemento,pareddes,paredmad,paredzinc,paredfibras,paredother,pisomoscer,pisoother,pisonatur,pisonotiene,pisomadera,techozinc,techoentrepiso,techocane,techootro,cielorazo,abastaguadentro,abastaguafuera,abastaguano,public,planpri,noelec,coopele,sanitario1,sanitario2,sanitario3,sanitario5,sanitario6,energcocinar1,energcocinar2,energcocinar3,energcocinar4,elimbasu1,elimbasu2,elimbasu3,elimbasu4,elimbasu5,elimbasu6,epared1,epared2,epared3,eviv1,eviv2,eviv3,tipovivi1,tipovivi2,tipovivi3,tipovivi4,tipovivi5,computer,television,lugar1,lugar2,lugar3,lugar4,lugar5,lugar6,area1,v2a1-missing,v2a1,dependency,edjefe,edjefa,meaneduc,overcrowding,rooms,r4h1,r4h2,r4h3,r4m1,r4m2,r4m3,r4t1,r4t2,v18q1,tamviv,hhsize,hogar_nin,hogar_adul,hogar_mayor,bedrooms,qmobilephone,hhsize-diff,elec,elec-missing,walls,roof,floor,walls+roof+floor,warning,bonus,phones-per-capita,tablets-per-capita,rooms-per-capita,rent-per-capita,v18q-min,v18q-sum,v18q-count,v18q-std,v18q-range_,dis-min,dis-max,dis-sum,female-min,female-max,female-sum,female-std,female-range_,estadocivil1-min,estadocivil1-max,estadocivil1-sum,estadocivil2-min,estadocivil2-max,estadocivil2-std,estadocivil3-min,estadocivil3-max,estadocivil3-std,estadocivil4-min,estadocivil4-max,estadocivil5-min,estadocivil5-max,estadocivil5-sum,estadocivil6-min,estadocivil6-max,estadocivil7-min,estadocivil7-max,estadocivil7-sum,estadocivil7-std,parentesco1-min,parentesco1-max,parentesco1-std,parentesco2-min,parentesco2-max,parentesco2-std,parentesco3-min,parentesco3-max,parentesco3-sum,parentesco4-min,parentesco4-max,parentesco4-sum,parentesco5-min,parentesco5-max,parentesco6-min,parentesco6-max,parentesco6-sum,parentesco7-min,parentesco7-max,parentesco8-min,parentesco8-max,parentesco9-min,parentesco9-max,parentesco9-sum,parentesco10-min,parentesco10-max,parentesco11-min,parentesco11-max,parentesco11-sum,parentesco12-min,parentesco12-max,parentesco12-sum,instlevel1-min,instlevel1-max,instlevel1-sum,instlevel2-min,instlevel2-max,instlevel2-sum,instlevel2-std,instlevel3-min,instlevel3-max,instlevel3-sum,instlevel3-std,instlevel4-min,instlevel4-max,instlevel4-sum,instlevel4-std,instlevel5-min,instlevel5-max,instlevel5-sum,instlevel6-min,instlevel6-max,instlevel7-min,instlevel7-max,instlevel8-min,instlevel8-max,instlevel8-sum,instlevel8-std,instlevel9-min,instlevel9-max,mobilephone-min,mobilephone-std,mobilephone-range_,rez_esc-min,rez_esc-max,escolari-min,escolari-max,escolari-sum,escolari-std,escolari-range_,age-min,age-max,age-sum,age-std,age-range_,inst-max,inst-std,inst-range_,escolari/age-min,escolari/age-max,escolari/age-sum,escolari/age-std,escolari/age-range_,inst/age-max,inst/age-std,inst/age-range_,tech-min,tech-sum,tech-std,tech-range_,female-head
0,ID_279628684,21eb7fcc1,4.0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,False,190000.0,0.0,10.0,0.0,10.0,1.0,3,0,1,1,0,0,0,0,1,0.0,1,1,0,1,0,1,1,0,2.0,False,1,0,0,1,0,1,1.0,0.0,3.0,190000.0,0,0,1,,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,1,1,0,0,0,0,0,0,0,0,,1,1,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,1,1,1,,0,0,0,0,0,0,0,0,0,0,,0,0,1,,0,0.0,0.0,10,10,10,,0,43,43,43,,0,3,,0,0.23255813953488372,0.23255813953488372,0.23255813953488372,,0.0,0.06976744186046512,,0.0,1,1,,0,0
1,ID_f29eb3ddd,0e5d7a658,4.0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,False,135000.0,8.0,12.0,0.0,12.0,1.0,4,0,1,1,0,0,0,0,1,1.0,1,1,0,1,1,1,1,0,2.0,False,1,1,1,3,0,2,1.0,1.0,4.0,135000.0,1,1,1,,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,1,1,0,0,0,0,0,0,0,0,,1,1,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,1,1,1,,0,0,1,,0,0.0,0.0,12,12,12,,0,67,67,67,,0,7,,0,0.1791044776119403,0.1791044776119403,0.1791044776119403,,0.0,0.1044776119402985,,0.0,2,2,,0,0
2,ID_68de51c94,2c7317ea8,4.0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,False,0.0,8.0,0.0,11.0,11.0,0.5,8,0,0,0,0,1,1,0,1,0.0,1,1,0,1,1,2,0,0,2.0,False,1,2,2,5,0,1,0.0,0.0,8.0,0.0,0,0,1,,0,1,1,1,1,1,1,,0,0,0,0,0,0,,0,0,,0,0,0,0,0,1,1,0,0,0,,1,1,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,1,1,1,0,0,0,0,0,0,0,,0,0,0,,0,0.0,0.0,11,11,11,,0,92,92,92,,0,4,,0,0.11956521739130435,0.11956521739130435,0.11956521739130435,,0.0,0.043478260869565216,,0.0,0,0,,0,1
3,ID_ec05b1a7b,2b58d945f,4.0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,False,180000.0,1.0,11.0,0.0,11.0,1.3333334,5,0,2,2,1,1,2,1,3,1.0,4,4,2,2,0,3,3,0,2.0,False,2,2,2,6,0,2,0.75,0.25,1.25,45000.0,1,4,4,0.0,0,0,0,0,0,1,2,0.5773502691896257,1,0,1,1,0,1,0.5773502691896257,0,0,0.0,0,0,0,0,0,0,0,0,1,1,0.5,0,1,0.5,0,1,0.5,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,0,0,0,0.0,0,1,1,0.5,0,1,2,0,0,0,0,0,0,0,0.0,0,0,1,0.0,0,0.0,1.0,2,11,33,4.272001872658765,9,8,38,100,14.89966442575134,30,4,1.4142135623730951,3,0.25,0.5294117647058824,1.366182746213706,0.1269431492528365,0.27941176470588236,0.17647058823529413,0.03301025215472768,0.07120743034055729,2,8,0.0,0,0
4,ID_1284f8aad,d6dae86b7,4.0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,False,130000.0,1.0,9.0,0.0,10.0,4.0,2,0,1,1,2,1,3,2,2,0.0,4,4,2,2,0,1,1,0,2.0,False,0,0,1,1,0,1,0.25,0.0,0.5,32500.0,0,0,4,0.0,0,0,0,0,0,1,3,0.5,1,0,1,1,0,1,0.5773502691896257,0,0,0.0,0,0,0,0,0,0,0,0,1,1,0.5,0,1,0.5,0,1,0.5,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0.5,0,0,0,0.0,0,1,1,0.5,0,1,1,0,0,0,0,0,0,0,0.0,0,0,1,0.0,0,0.0,1.0,0,11,23,5.123475382979799,11,7,30,76,11.69045194450012,23,4,1.8257418583505538,4,0.0,0.39285714285714285,0.9655844155844155,0.1689463268598042,0.39285714285714285,0.14285714285714285,0.0600628875279886,0.14285714285714285,1,4,0.0,0,0
5,ID_d94071d7c,bb2094100,4.0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,False,100000.0,1.0,0.0,11.0,23.0,1.0,3,0,0,0,0,2,2,0,2,0.0,2,2,1,1,0,2,1,0,2.0,False,2,2,2,6,0,1,0.5,0.0,1.5,50000.0,0,0,2,0.0,0,0,0,0,1,1,2,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,1,1,0,0,0,1,1,0.7071067811865476,0,1,0.7071067811865476,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,1,1,0,0,0,1,0,0,0,0.0,0,0,1,0.0,0,0.0,0.0,11,12,23,0.7071067811865476,1,18,34,52,11.313708498984761,16,6,1.4142135623730951,2,0.3235294117647059,0.6666666666666666,0.9901960784313726,0.24263467981891335,0.34313725490196073,0.3333333333333333,0.1525132273147455,0.2156862745098039,1,2,0.0,0,1
6,ID_064b57869,c51f9c774,4.0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,False,0.0,1.0,0.0,4.0,9.5,1.0,4,0,1,1,0,1,1,0,2,1.0,2,2,0,2,1,2,1,0,2.0,False,2,2,1,5,1,2,0.5,0.5,2.0,0.0,1,2,2,0.0,0,0,0,0,0,1,1,0.7071067811865476,1,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,1,1,0.7071067811865476,0,1,0.7071067811865476,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.7071067811865476,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,1,0.7071067811865476,0,0,1,0.0,0,0.0,0.0,4,15,19,7.7781745930520225,11,39,79,118,28.284271247461902,40,7,4.242640687119285,6,0.05063291139240506,0.38461538461538464,0.4352482960077897,0.2361612716134234,0.3339824732229796,0.1794871794871795,0.1179658830022348,0.1668289516390782,2,4,0.0,0,1
7,ID_c51938edf,6893e65ca,4.0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,False,90000.0,3.0,0.0,10.0,17.0,4.0,2,0,2,2,0,2,2,0,4,0.0,4,4,2,2,1,1,1,0,2.0,False,0,0,0,0,0,1,0.25,0.0,0.5,22500.0,0,0,4,0.0,0,0,0,0,0,1,2,0.5773502691896257,1,0,0,0,0,1,0.5773502691896257,0,0,0.0,0,0,0,1,1,0,0,0,1,1,0.5,0,1,0.5,0,1,0.5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0.5,0,0,0,0.0,0,1,1,0.5,0,1,2,0,0,0,0,0,0,0,0.0,0,0,1,0.0,0,0.0,0.0,2,11,34,4.358898943540674,9,19,70,158,25.03996805109783,51,4,1.4142135623730951,3,0.02857142857142857,0.5789473684210527,1.3864661654135337,0.27725098759956907,0.5503759398496241,0.21052631578947367,0.10182783131581571,0.19624060150375938,1,4,0.0,0,1
8,ID_74a2bc523,d29058053,4.0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,False,215000.0,0.0,15.0,0.0,13.5,1.0,4,0,1,1,0,1,1,0,2,0.0,2,2,0,2,0,2,2,0,2.0,False,2,2,2,6,0,1,1.0,0.0,2.0,107500.0,0,0,2,0.0,0,0,0,0,0,1,1,0.7071067811865476,1,0,0,0,0,0,0.0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0.7071067811865476,0,1,0.7071067811865476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,1,0,1,1,0.7071067811865476,0,0,1,0.0,0,0.0,0.0,12,15,27,2.1213203435596424,3,22,26,48,2.8284271247461903,4,7,0.7071067811865476,1,0.5454545454545454,0.5769230769230769,1.1223776223776223,0.02225161199538086,0.03146853146853146,0.2727272727272727,0.0024724013328200714,0.003496503496503489,1,2,0.0,0,0
9,ID_15d393ce7,ec0e8edce,4.0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,False,150000.0,8.0,4.0,0.0,10.0,2.0,3,0,1,1,0,1,1,0,2,0.0,2,2,0,2,2,1,1,0,2.0,False,0,0,0,0,0,1,0.5,0.0,1.5,75000.0,0,0,2,0.0,0,0,0,0,0,1,1,0.7071067811865476,1,0,0,0,0,0,0.0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0.7071067811865476,0,1,0.7071067811865476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.7071067811865476,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,1,0.7071067811865476,0,0,1,0.0,0,0.0,0.0,4,16,20,8.48528137423857,12,66,69,135,2.1213203435596424,3,7,4.242640687119285,6,0.057971014492753624,0.24242424242424243,0.30039525691699603,0.13042812828210362,0.1844532279314888,0.10606060606060606,0.06474824939718717,0.09156785243741766,1,2,0.0,0,0
